Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
AED,,178.41,,191.67,185.31,2020.10.01 17:42:41,1
AED,,178.41,,191.67,185.31,2020.10.01 16:41:34,1
AED,,178.41,,191.67,185.31,2020.10.01 16:28:51,1
AED,,178.41,,191.67,185.31,2020.10.01 16:15:10,1
AED,,178.41,,191.67,185.31,2020.10.01 16:03:55,1
AED,,178.41,,191.67,185.31,2020.10.01 15:06:46,1
AED,,178.41,,191.67,185.31,2020.10.01 15:06:37,1
AED,,178.41,,191.67,185.31,2020.10.01 15:05:55,1
AED,,178.41,,191.67,185.31,2020.10.01 15:05:44,1
AED,,178.41,,191.67,185.31,2020.10.01 15:05:11,1
AED,,178.41,,191.67,185.31,2020.10.01 14:54:09,1
AED,,178.41,,191.67,185.31,2020.10.01 14:51:47,1
AED,,178.41,,191.67,185.31,2020.10.01 14:51:20,1
AED,,178.41,,191.67,185.31,2020.10.01 14:25:49,1
AED,,178.41,,191.67,185.31,2020.10.01 12:41:01,1
AED,,178.41,,191.67,185.31,2020.10.01 11:55:05,1
AED,,178.41,,191.67,185.31,2020.10.01 10:30:00,1
AED,,178.41,,191.67,185.31,2020.10.01 10:30:00,1
AED,,178.41,,191.67,185.31,2020.10.01 10:30:00,1
AED,,178.41,,191.67,185.31,2020.10.01 10:10:23,1
AED,,178.41,,191.67,185.31,2020.10.01 10:10:23,2
AED,,178.41,,191.67,185.31,2020.10.01 09:50:58,2
AED,,178.41,,191.67,185.31,2020.10.01 09:44:29,2
AED,,178.41,,191.67,185.31,2020.10.01 09:11:19,2
AED,,178.41,,191.67,185.31,2020.10.01 09:11:12,2
AED,,178.41,,191.67,185.31,2020.10.01 09:10:56,2
AED,,178.41,,191.67,185.31,2020.10.01 09:10:49,2
AED,,178.41,,191.67,185.31,2020.10.01 09:10:40,2
AED,,178.41,,191.67,185.31,2020.10.01 09:10:27,2
AED,,178.41,,191.67,185.31,2020.10.01 09:09:47,2
AED,,178.41,,191.67,185.31,2020.10.01 09:07:43,2
AED,,178.41,,191.67,185.31,2020.10.01 09:06:59,2
AED,,178.41,,191.67,185.31,2020.10.01 09:04:45,2
AED,,178.41,,191.67,185.31,2020.10.01 09:03:33,2
AED,,178.41,,191.67,185.31,2020.10.01 09:01:29,2
AED,,178.41,,191.67,185.31,2020.10.01 09:01:04,2
AED,,178.41,,191.67,185.31,2020.10.01 08:51:33,2
AED,,178.41,,191.67,185.31,2020.10.01 08:51:29,2
AED,,178.41,,191.67,185.31,2020.10.01 07:48:10,2
AED,,178.41,,191.67,185.31,2020.10.01 07:48:05,2
AED,,178.41,,191.67,185.31,2020.10.01 06:53:04,3
AED,,178.41,,191.67,185.31,2020.10.01 06:52:59,3
AED,,178.41,,191.67,185.31,2020.10.01 05:30:00,3
AED,,178.41,,191.67,185.31,2020.10.01 05:30:00,3
AED,,178.41,,191.67,185.31,2020.10.01 05:30:00,3
AED,,178.41,,191.67,185.31,2020.10.01 00:00:05,3
AED,,178.41,,191.67,185.31,2020.09.30 23:40:58,3
AED,,178.41,,191.67,185.31,2020.09.30 23:40:58,3
AED,,178.41,,191.67,185.31,2020.09.30 23:40:58,3
AED,,178.38,,191.63,185.31,2020.09.30 23:40:53,3
AED,,178.38,,191.63,185.31,2020.09.30 23:13:23,3
AED,,178.38,,191.63,185.31,2020.09.30 23:00:19,3
AED,,178.52,,191.78,185.31,2020.09.30 22:49:53,3
AED,,178.52,,191.78,185.31,2020.09.30 22:42:59,3
AED,,178.52,,191.78,185.31,2020.09.30 22:29:46,3
AED,,178.59,,191.86,185.31,2020.09.30 22:18:52,3
AED,,178.59,,191.86,185.31,2020.09.30 22:15:21,3
AED,,178.7,,191.98,185.31,2020.09.30 22:15:06,3
AED,,178.7,,191.98,185.31,2020.09.30 22:04:55,3
AED,,178.7,,191.98,185.31,2020.09.30 20:50:35,3
AED,,178.73,,192.01,185.31,2020.09.30 19:31:43,4
AED,,178.67,,191.95,185.31,2020.09.30 18:46:01,4
AED,,178.67,,191.95,185.31,2020.09.30 18:45:05,4
AED,,178.78,,192.06,185.31,2020.09.30 18:44:57,4
AED,,178.78,,192.06,185.31,2020.09.30 17:58:59,4
AED,,178.85,,192.14,185.31,2020.09.30 17:39:46,4
AED,,178.91,,192.2,185.31,2020.09.30 17:33:06,4
AED,,178.89,,192.18,185.31,2020.09.30 17:29:11,4
AED,,178.87,,192.16,185.31,2020.09.30 17:18:55,4
