Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
AUD,486.26,471.15,489.84,492.01,486.27,2020.10.01 17:42:41,1
AUD,485.92,470.82,489.49,491.66,486.27,2020.10.01 16:41:34,1
AUD,486.33,471.22,489.91,492.08,486.27,2020.10.01 16:28:51,1
AUD,486.4,471.29,489.98,492.15,486.27,2020.10.01 16:15:10,1
AUD,485.92,470.82,489.49,491.66,486.27,2020.10.01 16:03:55,1
AUD,486.47,471.35,490.05,492.22,486.27,2020.10.01 15:06:46,1
AUD,486.43,471.31,490.01,492.18,486.27,2020.10.01 15:06:37,1
AUD,486.5,471.38,490.08,492.25,486.27,2020.10.01 15:05:55,1
AUD,486.61,471.49,490.19,492.36,486.27,2020.10.01 15:05:44,1
AUD,486.82,471.69,490.4,492.57,486.27,2020.10.01 15:05:11,1
AUD,487.02,471.88,490.6,492.77,486.27,2020.10.01 14:54:09,1
AUD,487.16,472.02,490.74,492.91,486.27,2020.10.01 14:51:47,1
AUD,486.98,471.85,490.56,492.73,486.27,2020.10.01 14:51:20,1
AUD,486.67,471.55,490.25,492.42,486.27,2020.10.01 14:25:49,1
AUD,485.85,470.75,489.42,491.59,486.27,2020.10.01 12:41:01,1
AUD,485.9,470.8,489.47,491.64,486.27,2020.10.01 11:55:05,1
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 10:30:00,1
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 10:30:00,1
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 10:30:00,1
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 10:10:23,1
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 10:10:23,2
AUD,485.65,470.56,489.22,491.39,486.27,2020.10.01 09:50:58,2
AUD,485.73,470.64,489.3,491.47,486.27,2020.10.01 09:44:29,2
AUD,484.85,469.79,488.42,490.58,486.27,2020.10.01 09:11:19,2
AUD,484.92,469.86,488.49,490.66,486.27,2020.10.01 09:11:12,2
AUD,484.92,469.86,488.49,490.66,486.27,2020.10.01 09:10:56,2
AUD,485.1,470.03,488.67,490.84,486.27,2020.10.01 09:10:49,2
AUD,485.14,470.07,488.71,490.88,486.27,2020.10.01 09:10:40,2
AUD,485.21,470.14,488.78,490.95,486.27,2020.10.01 09:10:27,2
AUD,485.28,470.2,488.85,491.02,486.27,2020.10.01 09:09:47,2
AUD,485.14,470.07,488.71,490.88,486.27,2020.10.01 09:07:43,2
AUD,484.97,469.9,488.54,490.71,486.27,2020.10.01 09:06:59,2
AUD,484.86,469.8,488.43,490.59,486.27,2020.10.01 09:04:45,2
AUD,484.82,469.76,488.39,490.55,486.27,2020.10.01 09:03:33,2
AUD,484.66,469.6,488.22,490.38,486.27,2020.10.01 09:01:29,2
AUD,484.48,469.42,488.04,490.2,486.27,2020.10.01 09:01:04,2
AUD,484.77,469.71,488.34,490.5,486.27,2020.10.01 08:51:33,2
AUD,484.84,469.78,488.41,490.57,486.27,2020.10.01 08:51:29,2
AUD,485.11,470.04,488.68,490.85,486.27,2020.10.01 07:48:10,2
AUD,485.11,470.04,488.68,490.85,486.27,2020.10.01 07:48:05,2
AUD,485.38,470.3,488.95,491.12,486.27,2020.10.01 06:53:04,3
AUD,485.38,470.3,488.95,491.12,486.27,2020.10.01 06:52:59,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.10.01 05:30:00,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.10.01 05:30:00,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.10.01 05:30:00,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.10.01 00:00:05,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.09.30 23:40:58,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.09.30 23:40:58,3
AUD,484.7,469.64,488.27,490.43,486.27,2020.09.30 23:40:58,3
AUD,484.64,469.58,488.2,490.36,486.27,2020.09.30 23:40:53,3
AUD,485.11,470.04,488.68,490.85,486.27,2020.09.30 23:13:23,3
AUD,484.97,469.9,488.54,490.71,486.27,2020.09.30 23:00:19,3
AUD,485.13,470.06,488.7,490.87,486.27,2020.09.30 22:49:53,3
AUD,484.39,469.34,487.95,490.11,486.27,2020.09.30 22:42:59,3
AUD,484.39,469.34,487.95,490.11,486.27,2020.09.30 22:29:46,3
AUD,484.8,469.74,488.37,490.53,486.27,2020.09.30 22:18:52,3
AUD,484.4,469.34,487.96,490.12,486.27,2020.09.30 22:15:21,3
AUD,484.81,469.75,488.38,490.54,486.27,2020.09.30 22:15:06,3
AUD,484,468.96,487.56,489.72,486.27,2020.09.30 22:04:55,3
AUD,483.87,468.83,487.43,489.59,486.27,2020.09.30 20:50:35,3
AUD,482.92,467.92,486.47,488.63,486.27,2020.09.30 19:31:43,4
AUD,483.32,468.3,486.87,489.03,486.27,2020.09.30 18:46:01,4
AUD,483.12,468.11,486.67,488.83,486.27,2020.09.30 18:45:05,4
AUD,483.47,468.45,487.02,489.18,486.27,2020.09.30 18:44:57,4
AUD,482.93,467.93,486.48,488.64,486.27,2020.09.30 17:58:59,4
AUD,483.14,468.13,486.69,488.85,486.27,2020.09.30 17:39:46,4
AUD,482.67,467.67,486.22,488.38,486.27,2020.09.30 17:33:06,4
AUD,482.43,467.44,485.98,488.13,486.27,2020.09.30 17:29:11,4
AUD,482.43,467.44,485.98,488.13,486.27,2020.09.30 17:18:55,4
AUD,482.8,467.8,486.35,488.51,486.27,2020.09.30 17:06:12,4
AUD,482.97,467.96,486.52,488.68,486.27,2020.09.30 16:59:53,4
AUD,483.01,468,486.56,488.72,486.27,2020.09.30 16:58:00,4
AUD,483.04,468.03,486.59,488.75,486.27,2020.09.30 16:52:31,4
AUD,483.21,468.2,486.76,488.92,486.27,2020.09.30 16:51:58,4
AUD,483.28,468.26,486.83,488.99,486.27,2020.09.30 16:50:58,4
AUD,483.45,468.43,487,489.16,486.27,2020.09.30 16:48:29,4
AUD,483.31,468.29,486.86,489.02,486.27,2020.09.30 16:47:20,4
AUD,483.51,468.49,487.06,489.22,486.27,2020.09.30 16:43:27,4
AUD,483.44,468.42,486.99,489.15,486.27,2020.09.30 16:43:21,4
AUD,483.85,468.81,487.41,489.57,486.27,2020.09.30 16:40:54,4
AUD,483.78,468.75,487.34,489.5,486.27,2020.09.30 16:38:16,5
AUD,483.47,468.45,487.02,489.18,486.27,2020.09.30 16:34:01,5
AUD,483.54,468.51,487.09,489.25,486.27,2020.09.30 16:33:51,5
AUD,483.07,468.06,486.62,488.78,486.27,2020.09.30 16:26:36,5
AUD,483.17,468.16,486.72,488.88,486.27,2020.09.30 16:20:57,5
AUD,482.93,467.93,486.48,488.64,486.27,2020.09.30 16:16:02,5
AUD,482.79,467.79,486.34,488.5,486.27,2020.09.30 16:10:38,5
AUD,482.52,467.53,486.07,488.22,486.27,2020.09.30 16:07:57,5
AUD,482.96,467.95,486.51,488.67,486.27,2020.09.30 16:03:37,5
AUD,482.89,467.89,486.44,488.6,486.27,2020.09.30 16:02:14,5
AUD,482.75,467.75,486.3,488.46,486.27,2020.09.30 16:00:46,5
AUD,482.72,467.72,486.27,488.43,486.27,2020.09.30 15:59:21,5
AUD,482.69,467.69,486.24,488.4,486.27,2020.09.30 15:58:39,5
AUD,482.59,467.6,486.14,488.3,486.27,2020.09.30 15:51:19,5
AUD,482.55,467.56,486.1,488.26,486.27,2020.09.30 15:48:30,5
AUD,482.65,467.65,486.2,488.36,486.27,2020.09.30 15:47:37,5
AUD,482.75,467.75,486.3,488.46,486.27,2020.09.30 15:42:21,5
AUD,482.54,467.55,486.09,488.25,486.27,2020.09.30 15:31:22,5
AUD,482.27,467.29,485.82,487.97,486.27,2020.09.30 15:28:56,5
AUD,482.1,467.12,485.65,487.8,486.27,2020.09.30 15:27:25,5
AUD,482.27,467.29,485.82,487.97,486.27,2020.09.30 15:25:36,6
AUD,482.06,467.08,485.61,487.76,486.27,2020.09.30 15:23:41,6
AUD,482.37,467.38,485.92,488.07,486.27,2020.09.30 15:16:46,6
AUD,482.43,467.44,485.98,488.13,486.27,2020.09.30 15:14:00,6
AUD,482.5,467.51,486.05,488.2,486.27,2020.09.30 15:13:53,6
AUD,482.82,467.82,486.37,488.53,486.27,2020.09.30 15:11:18,6
AUD,482.75,467.75,486.3,488.46,486.27,2020.09.30 15:07:44,6
AUD,483,467.99,486.55,488.71,486.27,2020.09.30 15:06:15,6
AUD,483.28,468.26,486.83,488.99,486.27,2020.09.30 15:03:01,6
