Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
BRL,,116.19,,131.92,,2020.10.01 14:51:20,1
BRL,,116.19,,131.92,,2020.10.01 14:25:49,1
BRL,,116.19,,131.92,,2020.10.01 12:41:01,1
BRL,,116.19,,131.92,,2020.10.01 11:55:05,1
BRL,,116.19,,131.92,,2020.10.01 10:30:00,1
BRL,,116.19,,131.92,,2020.10.01 10:30:00,1
BRL,,116.19,,131.92,,2020.10.01 10:30:00,1
BRL,,116.19,,131.92,,2020.10.01 10:10:23,1
BRL,,116.19,,131.92,,2020.10.01 10:10:23,1
BRL,,116.19,,131.92,,2020.10.01 09:50:58,1
BRL,,116.19,,131.92,,2020.10.01 09:44:29,1
BRL,,116.19,,131.92,,2020.10.01 09:11:19,1
BRL,,116.19,,131.92,,2020.10.01 09:11:12,1
BRL,,116.19,,131.92,,2020.10.01 09:10:56,1
BRL,,116.19,,131.92,,2020.10.01 09:10:49,1
BRL,,116.19,,131.92,,2020.10.01 09:10:40,1
BRL,,116.19,,131.92,,2020.10.01 09:10:27,1
BRL,,116.19,,131.92,,2020.10.01 09:09:47,1
BRL,,116.19,,131.92,,2020.10.01 09:07:43,1
BRL,,116.19,,131.92,,2020.10.01 09:06:59,1
BRL,,116.19,,131.92,,2020.10.01 09:04:45,2
BRL,,116.19,,131.92,,2020.10.01 09:03:33,2
BRL,,116.19,,131.92,,2020.10.01 09:01:29,2
BRL,,116.19,,131.92,,2020.10.01 09:01:04,2
BRL,,116.19,,131.92,,2020.10.01 08:51:33,2
BRL,,116.19,,131.92,,2020.10.01 08:51:29,2
BRL,,116.19,,131.92,,2020.10.01 07:48:10,2
BRL,,116.19,,131.92,,2020.10.01 07:48:05,2
BRL,,116.19,,131.92,,2020.10.01 06:53:04,2
BRL,,116.19,,131.92,,2020.10.01 06:52:59,2
BRL,,115.77,,131.44,,2020.10.01 05:30:00,2
BRL,,115.77,,131.44,,2020.10.01 05:30:00,2
BRL,,115.77,,131.44,,2020.10.01 05:30:00,2
BRL,,115.77,,131.44,,2020.10.01 00:00:05,2
BRL,,115.77,,131.44,,2020.09.30 23:40:58,2
BRL,,115.77,,131.44,,2020.09.30 23:40:58,2
BRL,,115.77,,131.44,,2020.09.30 23:40:58,2
BRL,,115.79,,131.46,,2020.09.30 23:40:53,2
BRL,,115.81,,131.5,,2020.09.30 23:13:23,2
BRL,,115.58,,131.24,,2020.09.30 23:00:19,2
BRL,,115.39,,131.02,,2020.09.30 22:49:53,3
BRL,,115.34,,130.96,,2020.09.30 22:42:59,3
BRL,,116.22,,131.96,,2020.09.30 22:29:46,3
BRL,,116.05,,131.77,,2020.09.30 22:18:52,3
BRL,,116.07,,131.79,,2020.09.30 22:15:21,3
BRL,,116.16,,131.89,,2020.09.30 22:15:06,3
BRL,,115.72,,131.39,,2020.09.30 22:04:55,3
BRL,,115.68,,131.35,,2020.09.30 20:50:35,3
BRL,,115.89,,131.58,,2020.09.30 19:31:43,3
BRL,,115.92,,131.62,,2020.09.30 18:46:01,3
BRL,,115.92,,131.62,,2020.09.30 18:45:05,3
BRL,,115.99,,131.69,,2020.09.30 18:44:57,3
BRL,,115.99,,131.69,,2020.09.30 17:58:59,3
BRL,,116.04,,131.76,,2020.09.30 17:39:46,3
BRL,,116.07,,131.79,,2020.09.30 17:33:06,3
BRL,,116.06,,131.78,,2020.09.30 17:29:11,3
BRL,,116.05,,131.77,,2020.09.30 17:18:55,3
BRL,,116.05,,131.77,,2020.09.30 17:06:12,3
BRL,,116.05,,131.77,,2020.09.30 16:59:53,3
BRL,,116.05,,131.77,,2020.09.30 16:58:00,3
BRL,,116.05,,131.77,,2020.09.30 16:52:31,4
BRL,,116.04,,131.76,,2020.09.30 16:51:58,4
BRL,,116.05,,131.77,,2020.09.30 16:50:58,4
BRL,,116.06,,131.78,,2020.09.30 16:48:29,4
BRL,,116.05,,131.77,,2020.09.30 16:47:20,4
BRL,,116.02,,131.73,,2020.09.30 16:43:27,4
BRL,,116,,131.7,,2020.09.30 16:43:21,4
BRL,,116,,131.7,,2020.09.30 16:40:54,4
BRL,,116.02,,131.73,,2020.09.30 16:38:16,4
BRL,,116.01,,131.72,,2020.09.30 16:34:01,4
BRL,,116.03,,131.74,,2020.09.30 16:33:51,4
BRL,,116.03,,131.74,,2020.09.30 16:26:36,4
BRL,,116.02,,131.73,,2020.09.30 16:20:57,4
BRL,,116.03,,131.74,,2020.09.30 16:16:02,4
BRL,,116.01,,131.72,,2020.09.30 16:10:38,4
BRL,,115.99,,131.69,,2020.09.30 16:07:57,4
BRL,,115.98,,131.68,,2020.09.30 16:03:37,4
BRL,,115.97,,131.67,,2020.09.30 16:02:14,4
BRL,,115.98,,131.68,,2020.09.30 16:00:46,4
BRL,,115.98,,131.68,,2020.09.30 15:59:21,4
BRL,,115.98,,131.68,,2020.09.30 15:58:39,5
BRL,,115.99,,131.69,,2020.09.30 15:51:19,5
BRL,,115.98,,131.68,,2020.09.30 15:48:30,5
BRL,,115.98,,131.68,,2020.09.30 15:47:37,5
BRL,,115.97,,131.67,,2020.09.30 15:42:21,5
BRL,,115.95,,131.65,,2020.09.30 15:31:22,5
BRL,,115.97,,131.67,,2020.09.30 15:28:56,5
BRL,,115.96,,131.66,,2020.09.30 15:27:25,5
BRL,,115.95,,131.65,,2020.09.30 15:25:36,5
BRL,,115.93,,131.63,,2020.09.30 15:23:41,5
BRL,,115.92,,131.62,,2020.09.30 15:16:46,5
BRL,,115.89,,131.58,,2020.09.30 15:14:00,5
BRL,,115.9,,131.6,,2020.09.30 15:13:53,5
BRL,,115.97,,131.67,,2020.09.30 15:11:18,5
BRL,,115.98,,131.68,,2020.09.30 15:07:44,5
BRL,,116.01,,131.72,,2020.09.30 15:06:15,5
BRL,,116.04,,131.76,,2020.09.30 15:03:01,5
BRL,,116.05,,131.77,,2020.09.30 14:58:54,5
BRL,,116.06,,131.78,,2020.09.30 14:54:06,5
BRL,,116.05,,131.77,,2020.09.30 14:49:40,5
BRL,,116.06,,131.78,,2020.09.30 14:47:53,6
BRL,,116.07,,131.79,,2020.09.30 14:41:05,6
BRL,,116.09,,131.81,,2020.09.30 14:32:53,6
