Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
CAD,509.23,493.16,512.99,515.25,508.64,2020.10.01 12:41:01,1
CAD,509.34,493.26,513.1,515.36,508.64,2020.10.01 11:55:05,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 10:30:00,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 10:30:00,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 10:30:00,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 10:10:23,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 10:10:23,1
CAD,509.4,493.32,513.16,515.42,508.64,2020.10.01 09:50:58,1
CAD,509.53,493.45,513.29,515.56,508.64,2020.10.01 09:44:29,1
CAD,508.85,492.78,512.6,514.86,508.64,2020.10.01 09:11:19,1
CAD,508.77,492.7,512.52,514.78,508.64,2020.10.01 09:11:12,1
CAD,508.81,492.74,512.56,514.82,508.64,2020.10.01 09:10:56,1
CAD,508.92,492.85,512.67,514.93,508.64,2020.10.01 09:10:49,1
CAD,509.03,492.96,512.79,515.05,508.64,2020.10.01 09:10:40,1
CAD,509.18,493.11,512.94,515.2,508.64,2020.10.01 09:10:27,1
CAD,509.21,493.14,512.97,515.23,508.64,2020.10.01 09:09:47,1
CAD,509.14,493.07,512.9,515.16,508.64,2020.10.01 09:07:43,1
CAD,509,492.92,512.75,515.01,508.64,2020.10.01 09:06:59,1
CAD,509.03,492.96,512.79,515.05,508.64,2020.10.01 09:04:45,1
CAD,508.85,492.78,512.6,514.86,508.64,2020.10.01 09:03:33,1
CAD,508.66,492.6,512.41,514.67,508.64,2020.10.01 09:01:29,2
CAD,508.55,492.49,512.3,514.56,508.64,2020.10.01 09:01:04,2
CAD,508.47,492.41,512.22,514.48,508.64,2020.10.01 08:51:33,2
CAD,508.43,492.37,512.18,514.44,508.64,2020.10.01 08:51:29,2
CAD,508.51,492.45,512.26,514.52,508.64,2020.10.01 07:48:10,2
CAD,508.51,492.45,512.26,514.52,508.64,2020.10.01 07:48:05,2
CAD,508.66,492.6,512.41,514.67,508.64,2020.10.01 06:53:04,2
CAD,508.66,492.6,512.41,514.67,508.64,2020.10.01 06:52:59,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.10.01 05:30:00,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.10.01 05:30:00,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.10.01 05:30:00,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.10.01 00:00:05,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.09.30 23:40:58,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.09.30 23:40:58,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.09.30 23:40:58,2
CAD,507.55,491.52,511.29,513.55,508.64,2020.09.30 23:40:53,2
CAD,507.63,491.6,511.37,513.63,508.64,2020.09.30 23:13:23,2
CAD,506.6,490.61,510.34,512.59,508.64,2020.09.30 23:00:19,2
CAD,506.79,490.79,510.53,512.78,508.64,2020.09.30 22:49:53,2
CAD,506.67,490.68,510.41,512.66,508.64,2020.09.30 22:42:59,2
CAD,506.44,490.45,510.18,512.43,508.64,2020.09.30 22:29:46,3
CAD,507.31,491.29,511.05,513.31,508.64,2020.09.30 22:18:52,3
CAD,506.97,490.96,510.71,512.96,508.64,2020.09.30 22:15:21,3
CAD,507.16,491.15,510.9,513.16,508.64,2020.09.30 22:15:06,3
CAD,506.81,490.81,510.55,512.8,508.64,2020.09.30 22:04:55,3
CAD,506.93,490.93,510.67,512.92,508.64,2020.09.30 20:50:35,3
CAD,506.59,490.6,510.33,512.58,508.64,2020.09.30 19:31:43,3
CAD,506.59,490.6,510.33,512.58,508.64,2020.09.30 18:46:01,3
CAD,506.59,490.6,510.33,512.58,508.64,2020.09.30 18:45:05,3
CAD,506.85,490.85,510.59,512.84,508.64,2020.09.30 18:44:57,3
CAD,506.32,490.34,510.06,512.31,508.64,2020.09.30 17:58:59,3
CAD,506.39,490.4,510.13,512.38,508.64,2020.09.30 17:39:46,3
CAD,506.5,490.51,510.24,512.49,508.64,2020.09.30 17:33:06,3
CAD,506.12,490.14,509.86,512.11,508.64,2020.09.30 17:29:11,3
CAD,506.09,490.12,509.83,512.08,508.64,2020.09.30 17:18:55,3
CAD,506.27,490.29,510.01,512.26,508.64,2020.09.30 17:06:12,3
CAD,506.43,490.44,510.17,512.42,508.64,2020.09.30 16:59:53,3
CAD,506.24,490.26,509.98,512.23,508.64,2020.09.30 16:58:00,3
CAD,506.2,490.22,509.94,512.19,508.64,2020.09.30 16:52:31,3
CAD,506.2,490.22,509.94,512.19,508.64,2020.09.30 16:51:58,3
CAD,506.5,490.51,510.24,512.49,508.64,2020.09.30 16:50:58,4
CAD,506.43,490.44,510.17,512.42,508.64,2020.09.30 16:48:29,4
CAD,506.35,490.37,510.09,512.34,508.64,2020.09.30 16:47:20,4
CAD,506.32,490.34,510.06,512.31,508.64,2020.09.30 16:43:27,4
CAD,506.28,490.3,510.02,512.27,508.64,2020.09.30 16:43:21,4
CAD,506.51,490.52,510.25,512.5,508.64,2020.09.30 16:40:54,4
CAD,506.54,490.55,510.28,512.53,508.64,2020.09.30 16:38:16,4
CAD,506.43,490.44,510.17,512.42,508.64,2020.09.30 16:34:01,4
CAD,506.47,490.48,510.21,512.46,508.64,2020.09.30 16:33:51,4
CAD,506.32,490.34,510.06,512.31,508.64,2020.09.30 16:26:36,4
CAD,506.28,490.3,510.02,512.27,508.64,2020.09.30 16:20:57,4
CAD,506.13,490.15,509.87,512.12,508.64,2020.09.30 16:16:02,4
CAD,506.16,490.18,509.9,512.15,508.64,2020.09.30 16:10:38,4
CAD,506.01,490.04,509.75,512,508.64,2020.09.30 16:07:57,4
CAD,506.09,490.12,509.83,512.08,508.64,2020.09.30 16:03:37,4
