Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
CHF,736.9,714.16,742.08,745.26,740.51,2020.10.01 17:42:41,1
CHF,735.3,712.61,740.46,743.64,740.51,2020.10.01 16:41:34,1
CHF,735.54,712.84,740.7,743.88,740.51,2020.10.01 16:28:51,1
CHF,735.95,713.24,741.11,744.29,740.51,2020.10.01 16:15:10,1
CHF,735.62,712.92,740.78,743.96,740.51,2020.10.01 16:03:55,1
CHF,735.46,712.76,740.62,743.8,740.51,2020.10.01 15:06:46,1
CHF,735.52,712.82,740.68,743.86,740.51,2020.10.01 15:06:37,1
CHF,735.6,712.9,740.76,743.94,740.51,2020.10.01 15:05:55,1
CHF,735.76,713.05,740.92,744.1,740.51,2020.10.01 15:05:44,1
CHF,735.95,713.24,741.11,744.29,740.51,2020.10.01 15:05:11,1
CHF,736.31,713.59,741.49,744.66,740.51,2020.10.01 14:54:09,1
CHF,736.5,713.78,741.68,744.85,740.51,2020.10.01 14:51:47,1
CHF,736.26,713.54,741.44,744.61,740.51,2020.10.01 14:51:20,1
CHF,735.95,713.24,741.11,744.29,740.51,2020.10.01 14:25:49,1
CHF,735.78,713.07,740.94,744.12,740.51,2020.10.01 12:41:01,1
CHF,736.05,713.34,741.23,744.4,740.51,2020.10.01 11:55:05,1
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 10:30:00,1
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 10:30:00,1
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 10:30:00,1
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 10:10:23,1
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 10:10:23,2
CHF,735.69,712.98,740.85,744.03,740.51,2020.10.01 09:50:58,2
CHF,735.95,713.24,741.11,744.29,740.51,2020.10.01 09:44:29,2
CHF,734.83,712.15,739.99,743.16,740.51,2020.10.01 09:11:19,2
CHF,734.78,712.11,739.94,743.11,740.51,2020.10.01 09:11:12,2
CHF,734.88,712.2,740.04,743.21,740.51,2020.10.01 09:10:56,2
CHF,735.13,712.44,740.29,743.46,740.51,2020.10.01 09:10:49,2
CHF,735.29,712.6,740.45,743.63,740.51,2020.10.01 09:10:40,2
CHF,735.43,712.73,740.59,743.77,740.51,2020.10.01 09:10:27,2
CHF,735.54,712.84,740.7,743.88,740.51,2020.10.01 09:09:47,2
