Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
DKK,106.71,103.42,107.57,108.08,107.35,2020.10.01 17:42:41,1
DKK,106.56,103.27,107.42,107.93,107.35,2020.10.01 16:41:34,1
DKK,106.65,103.36,107.51,108.02,107.35,2020.10.01 16:28:51,1
DKK,106.69,103.4,107.55,108.06,107.35,2020.10.01 16:15:10,1
DKK,106.63,103.34,107.49,108,107.35,2020.10.01 16:03:55,1
DKK,106.71,103.42,107.57,108.08,107.35,2020.10.01 15:06:46,1
DKK,106.71,103.42,107.57,108.08,107.35,2020.10.01 15:06:37,1
DKK,106.72,103.43,107.58,108.09,107.35,2020.10.01 15:05:55,1
DKK,106.74,103.45,107.6,108.11,107.35,2020.10.01 15:05:44,1
DKK,106.77,103.47,107.63,108.14,107.35,2020.10.01 15:05:11,1
DKK,106.75,103.46,107.61,108.12,107.35,2020.10.01 14:54:09,1
DKK,106.78,103.48,107.64,108.15,107.35,2020.10.01 14:51:47,1
DKK,106.75,103.46,107.61,108.12,107.35,2020.10.01 14:51:20,1
DKK,106.73,103.44,107.59,108.1,107.35,2020.10.01 14:25:49,1
DKK,106.67,103.38,107.53,108.04,107.35,2020.10.01 12:41:01,1
DKK,106.7,103.41,107.56,108.07,107.35,2020.10.01 11:55:05,1
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 10:30:00,1
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 10:30:00,1
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 10:30:00,1
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 10:10:23,1
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 10:10:23,2
DKK,106.64,103.35,107.5,108.01,107.35,2020.10.01 09:50:58,2
DKK,106.68,103.39,107.54,108.05,107.35,2020.10.01 09:44:29,2
DKK,106.52,103.23,107.38,107.89,107.35,2020.10.01 09:11:19,2
DKK,106.53,103.24,107.39,107.9,107.35,2020.10.01 09:11:12,2
DKK,106.54,103.25,107.4,107.91,107.35,2020.10.01 09:10:56,2
DKK,106.56,103.27,107.42,107.93,107.35,2020.10.01 09:10:49,2
DKK,106.58,103.29,107.44,107.95,107.35,2020.10.01 09:10:40,2
DKK,106.61,103.32,107.47,107.98,107.35,2020.10.01 09:10:27,2
DKK,106.62,103.33,107.48,107.99,107.35,2020.10.01 09:09:47,2
DKK,106.6,103.31,107.46,107.97,107.35,2020.10.01 09:07:43,2
DKK,106.58,103.29,107.44,107.95,107.35,2020.10.01 09:06:59,2
DKK,106.56,103.27,107.42,107.93,107.35,2020.10.01 09:04:45,2
DKK,106.54,103.25,107.4,107.91,107.35,2020.10.01 09:03:33,2
DKK,106.51,103.22,107.37,107.88,107.35,2020.10.01 09:01:29,2
DKK,106.48,103.19,107.34,107.85,107.35,2020.10.01 09:01:04,2
DKK,106.51,103.22,107.37,107.88,107.35,2020.10.01 08:51:33,2
DKK,106.51,103.22,107.37,107.88,107.35,2020.10.01 08:51:29,2
DKK,106.5,103.21,107.36,107.87,107.35,2020.10.01 07:48:10,2
DKK,106.5,103.21,107.36,107.87,107.35,2020.10.01 07:48:05,2
DKK,106.56,103.27,107.42,107.93,107.35,2020.10.01 06:53:04,3
DKK,106.54,103.25,107.4,107.91,107.35,2020.10.01 06:52:59,3
