Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
EUR,794.8,770.11,800.67,803.24,799.41,2020.10.01 12:41:01,1
EUR,795.02,770.32,800.89,803.46,799.41,2020.10.01 11:55:05,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 10:30:00,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 10:30:00,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 10:30:00,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 10:10:23,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 10:10:23,1
EUR,794.53,769.84,800.38,802.96,799.41,2020.10.01 09:50:58,1
EUR,794.81,770.12,800.68,803.25,799.41,2020.10.01 09:44:29,1
EUR,793.67,769.01,799.52,802.09,799.41,2020.10.01 09:11:19,1
EUR,793.71,769.05,799.56,802.13,799.41,2020.10.01 09:11:12,1
EUR,793.83,769.16,799.68,802.25,799.41,2020.10.01 09:10:56,1
EUR,794.01,769.34,799.86,802.44,799.41,2020.10.01 09:10:49,1
EUR,794.18,769.5,800.03,802.61,799.41,2020.10.01 09:10:40,1
EUR,794.35,769.66,800.2,802.78,799.41,2020.10.01 09:10:27,1
EUR,794.47,769.78,800.32,802.9,799.41,2020.10.01 09:09:47,1
EUR,794.28,769.6,800.13,802.71,799.41,2020.10.01 09:07:43,1
EUR,794.11,769.43,799.96,802.54,799.41,2020.10.01 09:06:59,1
EUR,793.93,769.26,799.78,802.35,799.41,2020.10.01 09:04:45,1
EUR,793.75,769.08,799.6,802.17,799.41,2020.10.01 09:03:33,1
EUR,793.65,768.99,799.5,802.07,799.41,2020.10.01 09:01:29,2
EUR,793.4,768.75,799.25,801.82,799.41,2020.10.01 09:01:04,2
EUR,793.57,768.91,799.42,801.99,799.41,2020.10.01 08:51:33,2
EUR,793.57,768.91,799.42,801.99,799.41,2020.10.01 08:51:29,2
EUR,793.57,768.91,799.42,801.99,799.41,2020.10.01 07:48:10,2
EUR,793.57,768.91,799.42,801.99,799.41,2020.10.01 07:48:05,2
EUR,794.04,769.36,799.89,802.47,799.41,2020.10.01 06:53:04,2
EUR,794.04,769.36,799.89,802.47,799.41,2020.10.01 06:52:59,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.10.01 05:30:00,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.10.01 05:30:00,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.10.01 05:30:00,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.10.01 00:00:05,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.09.30 23:40:58,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.09.30 23:40:58,2
EUR,793.84,769.17,799.69,802.26,799.41,2020.09.30 23:40:58,2
EUR,793.72,769.06,799.57,802.14,799.41,2020.09.30 23:40:53,2
EUR,794.4,769.71,800.25,802.83,799.41,2020.09.30 23:13:23,2
EUR,793.59,768.93,799.44,802.01,799.41,2020.09.30 23:00:19,2
EUR,794.71,770.02,800.58,803.15,799.41,2020.09.30 22:49:53,2
EUR,794.17,769.49,800.02,802.6,799.41,2020.09.30 22:42:59,2
EUR,793.97,769.3,799.82,802.4,799.41,2020.09.30 22:29:46,3
EUR,794.52,769.83,800.37,802.95,799.41,2020.09.30 22:18:52,3
EUR,793.71,769.05,799.56,802.13,799.41,2020.09.30 22:15:21,3
EUR,794.24,769.56,800.09,802.67,799.41,2020.09.30 22:15:06,3
EUR,793.16,768.51,799.01,801.58,799.41,2020.09.30 22:04:55,3
EUR,794.31,769.63,800.16,802.74,799.41,2020.09.30 20:50:35,3
EUR,793.82,769.15,799.67,802.24,799.41,2020.09.30 19:31:43,3
EUR,794.26,769.58,800.11,802.69,799.41,2020.09.30 18:46:01,3
EUR,794.06,769.38,799.91,802.49,799.41,2020.09.30 18:45:05,3
EUR,794.53,769.84,800.38,802.96,799.41,2020.09.30 18:44:57,3
EUR,794.19,769.51,800.04,802.62,799.41,2020.09.30 17:58:59,3
