Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
GBP,875.68,848.47,882.13,886.03,875.77,2020.10.01 12:41:01,1
GBP,875.8,848.59,882.25,886.15,875.77,2020.10.01 11:55:05,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 10:30:00,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 10:30:00,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 10:30:00,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 10:10:23,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 10:10:23,1
GBP,875.63,848.42,882.08,885.98,875.77,2020.10.01 09:50:58,1
GBP,875.93,848.71,882.38,886.28,875.77,2020.10.01 09:44:29,1
GBP,875.12,847.93,881.56,885.46,875.77,2020.10.01 09:11:19,1
GBP,875.18,847.99,881.62,885.52,875.77,2020.10.01 09:11:12,1
GBP,875.31,848.11,881.76,885.65,875.77,2020.10.01 09:10:56,1
GBP,875.43,848.23,881.88,885.78,875.77,2020.10.01 09:10:49,1
GBP,875.69,848.48,882.14,886.04,875.77,2020.10.01 09:10:40,1
GBP,875.82,848.6,882.27,886.17,875.77,2020.10.01 09:10:27,1
GBP,875.95,848.73,882.4,886.3,875.77,2020.10.01 09:09:47,1
GBP,875.75,848.54,882.2,886.1,875.77,2020.10.01 09:07:43,1
GBP,875.49,848.29,881.94,885.84,875.77,2020.10.01 09:06:59,1
GBP,875.29,848.09,881.74,885.63,875.77,2020.10.01 09:04:45,1
GBP,875.17,847.98,881.61,885.51,875.77,2020.10.01 09:03:33,1
GBP,874.77,847.59,881.21,885.11,875.77,2020.10.01 09:01:29,2
GBP,874.58,847.41,881.02,884.92,875.77,2020.10.01 09:01:04,2
GBP,874.31,847.15,880.75,884.65,875.77,2020.10.01 08:51:33,2
GBP,874.31,847.15,880.75,884.65,875.77,2020.10.01 08:51:29,2
GBP,874.25,847.09,880.69,884.59,875.77,2020.10.01 07:48:10,2
GBP,874.25,847.09,880.69,884.59,875.77,2020.10.01 07:48:05,2
GBP,874.86,847.68,881.3,885.2,875.77,2020.10.01 06:53:04,2
GBP,874.86,847.68,881.3,885.2,875.77,2020.10.01 06:52:59,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.10.01 05:30:00,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.10.01 05:30:00,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.10.01 05:30:00,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.10.01 00:00:05,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.09.30 23:40:58,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.09.30 23:40:58,2
GBP,874.18,847.02,880.62,884.52,875.77,2020.09.30 23:40:58,2
GBP,873.98,846.83,880.42,884.31,875.77,2020.09.30 23:40:53,2
GBP,875.13,847.94,881.57,885.47,875.77,2020.09.30 23:13:23,2
GBP,874.66,847.48,881.1,885,875.77,2020.09.30 23:00:19,2
GBP,875.78,848.57,882.23,886.13,875.77,2020.09.30 22:49:53,2
GBP,874.97,847.78,881.41,885.31,875.77,2020.09.30 22:42:59,2
GBP,874.29,847.13,880.73,884.63,875.77,2020.09.30 22:29:46,3
GBP,874.2,847.04,880.64,884.54,875.77,2020.09.30 22:18:52,3
GBP,873.32,846.18,879.75,883.64,875.77,2020.09.30 22:15:21,3
GBP,873.76,846.62,880.2,884.09,875.77,2020.09.30 22:15:06,3
GBP,871.94,844.85,878.36,882.25,875.77,2020.09.30 22:04:55,3
GBP,871.12,844.06,877.54,881.42,875.77,2020.09.30 20:50:35,3
GBP,870.58,843.52,876.99,880.86,875.77,2020.09.30 19:31:43,3
GBP,871.47,844.39,877.89,881.77,875.77,2020.09.30 18:46:01,3
GBP,871.26,844.19,877.68,881.56,875.77,2020.09.30 18:45:05,3
GBP,871.78,844.69,878.2,882.08,875.77,2020.09.30 18:44:57,3
GBP,870.29,843.24,876.69,880.57,875.77,2020.09.30 17:58:59,3
GBP,870.47,843.42,876.88,880.75,875.77,2020.09.30 17:39:46,3
GBP,870.59,843.53,877,880.87,875.77,2020.09.30 17:33:06,3
GBP,869.91,842.88,876.31,880.19,875.77,2020.09.30 17:29:11,3
GBP,869.79,842.76,876.19,880.07,875.77,2020.09.30 17:18:55,3
GBP,870.19,843.15,876.59,880.47,875.77,2020.09.30 17:06:12,3
GBP,869.92,842.89,876.32,880.2,875.77,2020.09.30 16:59:53,3
