Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
INR,,8.6769,,9.7845,,2020.10.01 17:42:41,1
INR,,8.6769,,9.7845,,2020.10.01 16:41:34,1
INR,,8.6769,,9.7845,,2020.10.01 16:28:51,1
INR,,8.6769,,9.7845,,2020.10.01 16:15:10,1
INR,,8.6769,,9.7845,,2020.10.01 16:03:55,1
INR,,8.6769,,9.7845,,2020.10.01 15:06:46,1
INR,,8.6769,,9.7845,,2020.10.01 15:06:37,1
INR,,8.6769,,9.7845,,2020.10.01 15:05:55,1
INR,,8.6769,,9.7845,,2020.10.01 15:05:44,1
INR,,8.6769,,9.7845,,2020.10.01 15:05:11,1
INR,,8.6769,,9.7845,,2020.10.01 14:54:09,1
INR,,8.6769,,9.7845,,2020.10.01 14:51:47,1
INR,,8.6769,,9.7845,,2020.10.01 14:51:20,1
INR,,8.6769,,9.7845,,2020.10.01 14:25:49,1
INR,,8.6769,,9.7845,,2020.10.01 12:41:01,1
INR,,8.6769,,9.7845,,2020.10.01 11:55:05,1
INR,,8.6769,,9.7845,,2020.10.01 10:30:00,1
INR,,8.6769,,9.7845,,2020.10.01 10:30:00,1
INR,,8.6769,,9.7845,,2020.10.01 10:30:00,1
INR,,8.6769,,9.7845,,2020.10.01 10:10:23,1
INR,,8.6769,,9.7845,,2020.10.01 10:10:23,2
INR,,8.6769,,9.7845,,2020.10.01 09:50:58,2
INR,,8.6769,,9.7845,,2020.10.01 09:44:29,2
INR,,8.6769,,9.7845,,2020.10.01 09:11:19,2
INR,,8.6769,,9.7845,,2020.10.01 09:11:12,2
INR,,8.6769,,9.7845,,2020.10.01 09:10:56,2
INR,,8.6769,,9.7845,,2020.10.01 09:10:49,2
INR,,8.6769,,9.7845,,2020.10.01 09:10:40,2
INR,,8.6769,,9.7845,,2020.10.01 09:10:27,2
INR,,8.6769,,9.7845,,2020.10.01 09:09:47,2
INR,,8.6769,,9.7845,,2020.10.01 09:07:43,2
INR,,8.6769,,9.7845,,2020.10.01 09:06:59,2
INR,,8.6769,,9.7845,,2020.10.01 09:04:45,2
INR,,8.6769,,9.7845,,2020.10.01 09:03:33,2
INR,,8.6769,,9.7845,,2020.10.01 09:01:29,2
INR,,8.6769,,9.7845,,2020.10.01 09:01:04,2
INR,,8.6769,,9.7845,,2020.10.01 08:51:33,2
INR,,8.6769,,9.7845,,2020.10.01 08:51:29,2
INR,,8.6769,,9.7845,,2020.10.01 07:48:10,2
INR,,8.6769,,9.7845,,2020.10.01 07:48:05,2
INR,,8.6769,,9.7845,,2020.10.01 06:53:04,3
INR,,8.6769,,9.7845,,2020.10.01 06:52:59,3
INR,,8.6792,,9.7872,,2020.10.01 05:30:00,3
INR,,8.6792,,9.7872,,2020.10.01 05:30:00,3
INR,,8.6792,,9.7872,,2020.10.01 05:30:00,3
INR,,8.6792,,9.7872,,2020.10.01 00:00:05,3
INR,,8.6792,,9.7872,,2020.09.30 23:40:58,3
INR,,8.6792,,9.7872,,2020.09.30 23:40:58,3
INR,,8.6792,,9.7872,,2020.09.30 23:40:58,3
INR,,8.6779,,9.7857,,2020.09.30 23:40:53,3
INR,,8.6791,,9.7871,,2020.09.30 23:13:23,3
INR,,8.6782,,9.786,,2020.09.30 23:00:19,3
INR,,8.6864,,9.7952,,2020.09.30 22:49:53,3
INR,,8.6853,,9.7941,,2020.09.30 22:42:59,3
INR,,8.6833,,9.7918,,2020.09.30 22:29:46,3
INR,,8.6848,,9.7934,,2020.09.30 22:18:52,3
INR,,8.6848,,9.7934,,2020.09.30 22:15:21,3
INR,,8.6905,,9.7999,,2020.09.30 22:15:06,3
INR,,8.6818,,9.7902,,2020.09.30 22:04:55,3
INR,,8.6833,,9.7918,,2020.09.30 20:50:35,3
INR,,8.6746,,9.782,,2020.09.30 19:31:43,4
INR,,8.6727,,9.7799,,2020.09.30 18:46:01,4
INR,,8.6721,,9.7791,,2020.09.30 18:45:05,4
INR,,8.6772,,9.785,,2020.09.30 18:44:57,4
INR,,8.6748,,9.7822,,2020.09.30 17:58:59,4
INR,,8.6776,,9.7854,,2020.09.30 17:39:46,4
INR,,8.6795,,9.7875,,2020.09.30 17:33:06,4
INR,,8.6805,,9.7887,,2020.09.30 17:29:11,4
INR,,8.6772,,9.785,,2020.09.30 17:18:55,4
INR,,8.6784,,9.7862,,2020.09.30 17:06:12,4
INR,,8.6774,,9.7852,,2020.09.30 16:59:53,4
INR,,8.679,,9.787,,2020.09.30 16:58:00,4
INR,,8.6792,,9.7872,,2020.09.30 16:52:31,4
INR,,8.6786,,9.7865,,2020.09.30 16:51:58,4
INR,,8.6796,,9.7876,,2020.09.30 16:50:58,4
INR,,8.6808,,9.789,,2020.09.30 16:48:29,4
INR,,8.6786,,9.7866,,2020.09.30 16:47:20,4
INR,,8.677,,9.7848,,2020.09.30 16:43:27,4
INR,,8.6757,,9.7833,,2020.09.30 16:43:21,4
INR,,8.6793,,9.7873,,2020.09.30 16:40:54,4
INR,,8.6787,,9.7867,,2020.09.30 16:38:16,5
INR,,8.6767,,9.7843,,2020.09.30 16:34:01,5
INR,,8.6782,,9.786,,2020.09.30 16:33:51,5
INR,,8.6753,,9.7827,,2020.09.30 16:26:36,5
INR,,8.673,,9.7802,,2020.09.30 16:20:57,5
INR,,8.6743,,9.7817,,2020.09.30 16:16:02,5
INR,,8.6827,,9.7911,,2020.09.30 16:10:38,5
INR,,8.6788,,9.7868,,2020.09.30 16:07:57,5
INR,,8.6796,,9.7876,,2020.09.30 16:03:37,5
INR,,8.6778,,9.7856,,2020.09.30 16:02:14,5
INR,,8.6774,,9.7852,,2020.09.30 16:00:46,5
INR,,8.6774,,9.7852,,2020.09.30 15:59:21,5
INR,,8.6783,,9.7861,,2020.09.30 15:58:39,5
INR,,8.679,,9.787,,2020.09.30 15:51:19,5
INR,,8.6792,,9.7872,,2020.09.30 15:48:30,5
INR,,8.6785,,9.7863,,2020.09.30 15:47:37,5
INR,,8.6774,,9.7852,,2020.09.30 15:42:21,5
INR,,8.6744,,9.7818,,2020.09.30 15:31:22,5
INR,,8.6751,,9.7825,,2020.09.30 15:28:56,5
INR,,8.6739,,9.7812,,2020.09.30 15:27:25,5
INR,,8.675,,9.7824,,2020.09.30 15:25:36,6
INR,,8.6738,,9.781,,2020.09.30 15:23:41,6
INR,,8.6739,,9.7813,,2020.09.30 15:16:46,6
INR,,8.6718,,9.7788,,2020.09.30 15:14:00,6
INR,,8.6732,,9.7804,,2020.09.30 15:13:53,6
INR,,8.6757,,9.7833,,2020.09.30 15:11:18,6
INR,,8.677,,9.7848,,2020.09.30 15:07:44,6
INR,,8.6759,,9.7835,,2020.09.30 15:06:15,6
INR,,8.6773,,9.7851,,2020.09.30 15:03:01,6
INR,,8.6778,,9.7856,,2020.09.30 14:58:54,6
INR,,8.6753,,9.7827,,2020.09.30 14:54:06,6
INR,,8.6715,,9.7785,,2020.09.30 14:49:40,6
INR,,8.6727,,9.7799,,2020.09.30 14:47:53,6
INR,,8.6734,,9.7806,,2020.09.30 14:41:05,6
