Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
JPY,6.4082,6.2091,6.4553,6.4653,6.4429,2020.10.01 17:42:41,1
JPY,6.4088,6.2097,6.4559,6.4659,6.4429,2020.10.01 16:41:34,1
JPY,6.4125,6.2132,6.4597,6.4696,6.4429,2020.10.01 16:28:51,1
JPY,6.4131,6.2138,6.4603,6.4702,6.4429,2020.10.01 16:15:10,1
JPY,6.4107,6.2115,6.4578,6.4678,6.4429,2020.10.01 16:03:55,1
JPY,6.4143,6.215,6.4615,6.4714,6.4429,2020.10.01 15:06:46,1
JPY,6.4148,6.2155,6.462,6.4719,6.4429,2020.10.01 15:06:37,1
JPY,6.4154,6.216,6.4626,6.4725,6.4429,2020.10.01 15:05:55,1
JPY,6.4162,6.2168,6.4634,6.4733,6.4429,2020.10.01 15:05:44,1
JPY,6.4165,6.2171,6.4637,6.4737,6.4429,2020.10.01 15:05:11,1
JPY,6.4168,6.2174,6.464,6.474,6.4429,2020.10.01 14:54:09,1
JPY,6.4178,6.2184,6.465,6.475,6.4429,2020.10.01 14:51:47,1
JPY,6.4163,6.2169,6.4635,6.4734,6.4429,2020.10.01 14:51:20,1
JPY,6.4137,6.2144,6.4609,6.4708,6.4429,2020.10.01 14:25:49,1
JPY,6.418,6.2186,6.4652,6.4752,6.4429,2020.10.01 12:41:01,1
JPY,6.4197,6.2202,6.4669,6.4769,6.4429,2020.10.01 11:55:05,1
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 10:30:00,1
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 10:30:00,1
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 10:30:00,1
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 10:10:23,1
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 10:10:23,2
JPY,6.4164,6.217,6.4636,6.4736,6.4429,2020.10.01 09:50:58,2
JPY,6.4184,6.2189,6.4656,6.4756,6.4429,2020.10.01 09:44:29,2
JPY,6.4165,6.2171,6.4637,6.4737,6.4429,2020.10.01 09:11:19,2
JPY,6.4181,6.2187,6.4653,6.4753,6.4429,2020.10.01 09:11:12,2
JPY,6.4184,6.2189,6.4656,6.4756,6.4429,2020.10.01 09:10:56,2
JPY,6.4199,6.2204,6.4671,6.4771,6.4429,2020.10.01 09:10:49,2
JPY,6.4219,6.2223,6.4691,6.4791,6.4429,2020.10.01 09:10:40,2
JPY,6.4232,6.2236,6.4704,6.4804,6.4429,2020.10.01 09:10:27,2
JPY,6.4247,6.225,6.4719,6.4819,6.4429,2020.10.01 09:09:47,2
JPY,6.4232,6.2236,6.4704,6.4804,6.4429,2020.10.01 09:07:43,2
JPY,6.4218,6.2222,6.469,6.479,6.4429,2020.10.01 09:06:59,2
JPY,6.4197,6.2202,6.4669,6.4769,6.4429,2020.10.01 09:04:45,2
