Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
MYR,164.03,,165.52,,163.85,2020.10.01 12:41:01,1
MYR,164.09,,165.58,,163.85,2020.10.01 11:55:05,1
MYR,164.1,,165.59,,163.85,2020.10.01 10:30:00,1
MYR,164.1,,165.59,,163.85,2020.10.01 10:30:00,1
MYR,164.1,,165.59,,163.85,2020.10.01 10:30:00,1
MYR,164.1,,165.59,,163.85,2020.10.01 10:10:23,1
MYR,164.1,,165.59,,163.85,2020.10.01 10:10:23,1
MYR,164.1,,165.59,,163.85,2020.10.01 09:50:58,1
MYR,164.1,,165.59,,163.85,2020.10.01 09:44:29,1
MYR,164.1,,165.59,,163.85,2020.10.01 09:11:19,1
MYR,164.13,,165.62,,163.85,2020.10.01 09:11:12,1
MYR,164.15,,165.64,,163.85,2020.10.01 09:10:56,1
MYR,164.19,,165.68,,163.85,2020.10.01 09:10:49,1
MYR,164.22,,165.71,,163.85,2020.10.01 09:10:40,1
MYR,164.27,,165.76,,163.85,2020.10.01 09:10:27,1
MYR,164.3,,165.79,,163.85,2020.10.01 09:09:47,1
MYR,164.27,,165.76,,163.85,2020.10.01 09:07:43,1
MYR,164.24,,165.73,,163.85,2020.10.01 09:06:59,1
MYR,164.2,,165.69,,163.85,2020.10.01 09:04:45,1
MYR,164.16,,165.65,,163.85,2020.10.01 09:03:33,1
MYR,164.13,,165.62,,163.85,2020.10.01 09:01:29,2
MYR,164.09,,165.58,,163.85,2020.10.01 09:01:04,2
MYR,164.05,,165.54,,163.85,2020.10.01 08:51:33,2
MYR,164.05,,165.54,,163.85,2020.10.01 08:51:29,2
MYR,164.05,,165.54,,163.85,2020.10.01 07:48:10,2
MYR,164.05,,165.54,,163.85,2020.10.01 07:48:05,2
MYR,164.05,,165.54,,163.85,2020.10.01 06:53:04,2
MYR,164.05,,165.54,,163.85,2020.10.01 06:52:59,2
MYR,164.05,,165.54,,163.85,2020.10.01 05:30:00,2
MYR,164.05,,165.54,,163.85,2020.10.01 05:30:00,2
MYR,164.05,,165.54,,163.85,2020.10.01 05:30:00,2
MYR,164.05,,165.54,,163.85,2020.10.01 00:00:05,2
MYR,164.05,,165.54,,163.85,2020.09.30 23:40:58,2
MYR,164.05,,165.54,,163.85,2020.09.30 23:40:58,2
MYR,164.05,,165.54,,163.85,2020.09.30 23:40:58,2
MYR,164.03,,165.52,,163.85,2020.09.30 23:40:53,2
MYR,164.03,,165.52,,163.85,2020.09.30 23:13:23,2
MYR,164.03,,165.52,,163.85,2020.09.30 23:00:19,2
MYR,164.15,,165.64,,163.85,2020.09.30 22:49:53,2
MYR,164.15,,165.64,,163.85,2020.09.30 22:42:59,2
MYR,164.15,,165.64,,163.85,2020.09.30 22:29:46,3
MYR,164.22,,165.71,,163.85,2020.09.30 22:18:52,3
MYR,164.22,,165.71,,163.85,2020.09.30 22:15:21,3
MYR,164.32,,165.81,,163.85,2020.09.30 22:15:06,3
MYR,164.32,,165.81,,163.85,2020.09.30 22:04:55,3
MYR,164.32,,165.81,,163.85,2020.09.30 20:50:35,3
MYR,164.35,,165.84,,163.85,2020.09.30 19:31:43,3
MYR,164.3,,165.79,,163.85,2020.09.30 18:46:01,3
MYR,164.3,,165.79,,163.85,2020.09.30 18:45:05,3
MYR,164.39,,165.88,,163.85,2020.09.30 18:44:57,3
MYR,164.39,,165.88,,163.85,2020.09.30 17:58:59,3
MYR,164.47,,165.96,,163.85,2020.09.30 17:39:46,3
MYR,164.51,,166,,163.85,2020.09.30 17:33:06,3
MYR,164.5,,165.99,,163.85,2020.09.30 17:29:11,3
MYR,164.48,,165.97,,163.85,2020.09.30 17:18:55,3
MYR,164.49,,165.98,,163.85,2020.09.30 17:06:12,3
MYR,164.48,,165.97,,163.85,2020.09.30 16:59:53,3
MYR,164.49,,165.98,,163.85,2020.09.30 16:58:00,3
MYR,164.48,,165.97,,163.85,2020.09.30 16:52:31,3
MYR,164.47,,165.96,,163.85,2020.09.30 16:51:58,3
MYR,164.49,,165.98,,163.85,2020.09.30 16:50:58,4
MYR,164.5,,165.99,,163.85,2020.09.30 16:48:29,4
MYR,164.48,,165.97,,163.85,2020.09.30 16:47:20,4
MYR,164.43,,165.92,,163.85,2020.09.30 16:43:27,4
MYR,164.41,,165.9,,163.85,2020.09.30 16:43:21,4
MYR,164.41,,165.9,,163.85,2020.09.30 16:40:54,4
MYR,164.43,,165.92,,163.85,2020.09.30 16:38:16,4
MYR,164.42,,165.91,,163.85,2020.09.30 16:34:01,4
MYR,164.44,,165.93,,163.85,2020.09.30 16:33:51,4
MYR,164.44,,165.93,,163.85,2020.09.30 16:26:36,4
MYR,164.43,,165.92,,163.85,2020.09.30 16:20:57,4
MYR,164.44,,165.93,,163.85,2020.09.30 16:16:02,4
MYR,164.42,,165.91,,163.85,2020.09.30 16:10:38,4
MYR,164.39,,165.88,,163.85,2020.09.30 16:07:57,4
MYR,164.38,,165.87,,163.85,2020.09.30 16:03:37,4
MYR,164.36,,165.85,,163.85,2020.09.30 16:02:14,4
MYR,164.38,,165.87,,163.85,2020.09.30 16:00:46,4
MYR,164.37,,165.86,,163.85,2020.09.30 15:59:21,4
MYR,164.38,,165.87,,163.85,2020.09.30 15:58:39,4
MYR,164.39,,165.88,,163.85,2020.09.30 15:51:19,4
MYR,164.38,,165.87,,163.85,2020.09.30 15:48:30,5
MYR,164.37,,165.86,,163.85,2020.09.30 15:47:37,5
MYR,164.36,,165.85,,163.85,2020.09.30 15:42:21,5
MYR,164.33,,165.82,,163.85,2020.09.30 15:31:22,5
MYR,164.36,,165.85,,163.85,2020.09.30 15:28:56,5
MYR,164.35,,165.84,,163.85,2020.09.30 15:27:25,5
MYR,164.33,,165.82,,163.85,2020.09.30 15:25:36,5
MYR,164.31,,165.8,,163.85,2020.09.30 15:23:41,5
MYR,164.3,,165.79,,163.85,2020.09.30 15:16:46,5
MYR,164.25,,165.74,,163.85,2020.09.30 15:14:00,5
MYR,164.27,,165.76,,163.85,2020.09.30 15:13:53,5
MYR,164.36,,165.85,,163.85,2020.09.30 15:11:18,5
MYR,164.38,,165.87,,163.85,2020.09.30 15:07:44,5
MYR,164.42,,165.91,,163.85,2020.09.30 15:06:15,5
MYR,164.47,,165.96,,163.85,2020.09.30 15:03:01,5
MYR,164.49,,165.98,,163.85,2020.09.30 14:58:54,5
MYR,164.5,,165.99,,163.85,2020.09.30 14:54:06,5
MYR,164.49,,165.98,,163.85,2020.09.30 14:49:40,5
MYR,164.5,,165.99,,163.85,2020.09.30 14:47:53,5
MYR,164.51,,166,,163.85,2020.09.30 14:41:05,5
MYR,164.54,,166.03,,163.85,2020.09.30 14:32:53,6
MYR,164.56,,166.05,,163.85,2020.09.30 14:30:36,6
MYR,164.58,,166.07,,163.85,2020.09.30 14:29:04,6
MYR,164.59,,166.08,,163.85,2020.09.30 14:28:39,6
MYR,164.55,,166.04,,163.85,2020.09.30 14:26:36,6
MYR,164.54,,166.03,,163.85,2020.09.30 14:24:39,6
MYR,164.51,,166,,163.85,2020.09.30 14:14:26,6
MYR,164.5,,165.99,,163.85,2020.09.30 14:13:43,6
MYR,164.49,,165.98,,163.85,2020.09.30 14:12:51,6
MYR,164.48,,165.97,,163.85,2020.09.30 14:11:07,6
MYR,164.47,,165.96,,163.85,2020.09.30 14:06:59,6
MYR,164.48,,165.97,,163.85,2020.09.30 14:03:40,6
