Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
NOK,72.69,70.44,73.27,73.62,72.37,2020.10.01 12:41:01,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 11:55:05,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 10:30:00,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 10:30:00,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 10:30:00,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 10:10:23,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 10:10:23,1
NOK,72.72,70.47,73.3,73.65,72.37,2020.10.01 09:50:58,1
NOK,72.67,70.42,73.25,73.6,72.37,2020.10.01 09:44:29,1
NOK,72.53,70.29,73.11,73.46,72.37,2020.10.01 09:11:19,1
NOK,72.54,70.3,73.12,73.47,72.37,2020.10.01 09:11:12,1
NOK,72.54,70.3,73.12,73.47,72.37,2020.10.01 09:10:56,1
NOK,72.56,70.32,73.14,73.49,72.37,2020.10.01 09:10:49,1
NOK,72.57,70.33,73.15,73.5,72.37,2020.10.01 09:10:40,1
NOK,72.6,70.36,73.18,73.53,72.37,2020.10.01 09:10:27,1
NOK,72.6,70.36,73.18,73.53,72.37,2020.10.01 09:09:47,1
NOK,72.58,70.34,73.16,73.51,72.37,2020.10.01 09:07:43,1
NOK,72.55,70.31,73.13,73.48,72.37,2020.10.01 09:06:59,1
NOK,72.54,70.3,73.12,73.47,72.37,2020.10.01 09:04:45,1
NOK,72.52,70.28,73.1,73.45,72.37,2020.10.01 09:03:33,1
NOK,72.5,70.26,73.08,73.43,72.37,2020.10.01 09:01:29,2
NOK,72.48,70.24,73.06,73.41,72.37,2020.10.01 09:01:04,2
NOK,72.5,70.26,73.08,73.43,72.37,2020.10.01 08:51:33,2
NOK,72.5,70.26,73.08,73.43,72.37,2020.10.01 08:51:29,2
NOK,72.5,70.26,73.08,73.43,72.37,2020.10.01 07:48:10,2
NOK,72.5,70.26,73.08,73.43,72.37,2020.10.01 07:48:05,2
NOK,72.54,70.3,73.12,73.47,72.37,2020.10.01 06:53:04,2
NOK,72.54,70.3,73.12,73.47,72.37,2020.10.01 06:52:59,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.10.01 05:30:00,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.10.01 05:30:00,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.10.01 05:30:00,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.10.01 00:00:05,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.09.30 23:40:58,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.09.30 23:40:58,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.09.30 23:40:58,2
NOK,72.13,69.9,72.71,73.06,72.37,2020.09.30 23:40:53,2
NOK,72.25,70.02,72.83,73.18,72.37,2020.09.30 23:13:23,2
NOK,72.26,70.03,72.84,73.19,72.37,2020.09.30 23:00:19,2
NOK,72.16,69.93,72.74,73.09,72.37,2020.09.30 22:49:53,2
NOK,71.9,69.68,72.48,72.83,72.37,2020.09.30 22:42:59,2
NOK,71.77,69.56,72.35,72.69,72.37,2020.09.30 22:29:46,3
NOK,71.87,69.65,72.45,72.8,72.37,2020.09.30 22:18:52,3
NOK,71.79,69.58,72.37,72.71,72.37,2020.09.30 22:15:21,3
NOK,71.85,69.63,72.43,72.77,72.37,2020.09.30 22:15:06,3
NOK,71.61,69.4,72.19,72.53,72.37,2020.09.30 22:04:55,3
NOK,71.64,69.43,72.22,72.56,72.37,2020.09.30 20:50:35,3
NOK,71.5,69.3,72.08,72.42,72.37,2020.09.30 19:31:43,3
