Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
NZD,449.07,435.22,452.23,458.45,449.15,2020.10.01 17:42:41,1
NZD,448.8,434.95,451.96,458.17,449.15,2020.10.01 16:41:34,1
NZD,448.8,434.95,451.96,458.17,449.15,2020.10.01 16:28:51,1
NZD,448.66,434.82,451.82,458.03,449.15,2020.10.01 16:15:10,1
NZD,448.34,434.5,451.48,457.69,449.15,2020.10.01 16:03:55,1
NZD,448.87,435.02,452.03,458.24,449.15,2020.10.01 15:06:46,1
NZD,448.83,434.98,451.99,458.2,449.15,2020.10.01 15:06:37,1
NZD,448.83,434.98,451.99,458.2,449.15,2020.10.01 15:05:55,1
NZD,449,435.15,452.16,458.38,449.15,2020.10.01 15:05:44,1
NZD,449.2,435.34,452.36,458.58,449.15,2020.10.01 15:05:11,1
NZD,449.41,435.54,452.57,458.79,449.15,2020.10.01 14:54:09,1
NZD,449.75,435.87,452.91,459.14,449.15,2020.10.01 14:51:47,1
NZD,449.65,435.78,452.81,459.04,449.15,2020.10.01 14:51:20,1
NZD,449.55,435.68,452.71,458.93,449.15,2020.10.01 14:25:49,1
NZD,448.94,435.09,452.1,458.31,449.15,2020.10.01 12:41:01,1
NZD,448.69,434.85,451.85,458.06,449.15,2020.10.01 11:55:05,1
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 10:30:00,1
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 10:30:00,1
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 10:30:00,1
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 10:10:23,1
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 10:10:23,2
NZD,448.44,434.61,451.6,457.81,449.15,2020.10.01 09:50:58,2
NZD,448.73,434.89,451.89,458.1,449.15,2020.10.01 09:44:29,2
NZD,448.13,434.3,451.27,457.48,449.15,2020.10.01 09:11:19,2
NZD,448.19,434.36,451.33,457.54,449.15,2020.10.01 09:11:12,2
NZD,448.19,434.36,451.33,457.54,449.15,2020.10.01 09:10:56,2
NZD,448.36,434.52,451.5,457.71,449.15,2020.10.01 09:10:49,2
NZD,448.39,434.55,451.53,457.74,449.15,2020.10.01 09:10:40,2
NZD,448.51,434.67,451.67,457.88,449.15,2020.10.01 09:10:27,2
NZD,448.58,434.74,451.74,457.95,449.15,2020.10.01 09:09:47,2
