Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
SAR,,176.02,,186.08,181.46,2020.10.01 14:51:47,1
SAR,,176.02,,186.08,181.46,2020.10.01 14:51:20,1
SAR,,176.02,,186.08,181.46,2020.10.01 14:25:49,1
SAR,,176.02,,186.08,181.46,2020.10.01 12:41:01,1
SAR,,176.02,,186.08,181.46,2020.10.01 11:55:05,1
SAR,,176.02,,186.08,181.46,2020.10.01 10:30:00,1
SAR,,176.02,,186.08,181.46,2020.10.01 10:30:00,1
SAR,,176.02,,186.08,181.46,2020.10.01 10:30:00,1
SAR,,176.02,,186.08,181.46,2020.10.01 10:10:23,1
SAR,,176.02,,186.08,181.46,2020.10.01 10:10:23,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:50:58,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:44:29,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:11:19,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:11:12,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:10:56,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:10:49,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:10:40,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:10:27,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:09:47,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:07:43,1
SAR,,176.02,,186.08,181.46,2020.10.01 09:06:59,2
SAR,,176.02,,186.08,181.46,2020.10.01 09:04:45,2
SAR,,176.02,,186.08,181.46,2020.10.01 09:03:33,2
SAR,,176.02,,186.08,181.46,2020.10.01 09:01:29,2
SAR,,176.02,,186.08,181.46,2020.10.01 09:01:04,2
SAR,,176.02,,186.08,181.46,2020.10.01 08:51:33,2
SAR,,176.02,,186.08,181.46,2020.10.01 08:51:29,2
SAR,,176.02,,186.08,181.46,2020.10.01 07:48:10,2
SAR,,176.02,,186.08,181.46,2020.10.01 07:48:05,2
SAR,,176.02,,186.08,181.46,2020.10.01 06:53:04,2
SAR,,176.02,,186.08,181.46,2020.10.01 06:52:59,2
SAR,,176.02,,186.08,181.46,2020.10.01 05:30:00,2
SAR,,176.02,,186.08,181.46,2020.10.01 05:30:00,2
SAR,,176.02,,186.08,181.46,2020.10.01 05:30:00,2
SAR,,176.02,,186.08,181.46,2020.10.01 00:00:05,2
SAR,,176.02,,186.08,181.46,2020.09.30 23:40:58,2
SAR,,176.02,,186.08,181.46,2020.09.30 23:40:58,2
SAR,,176.02,,186.08,181.46,2020.09.30 23:40:58,2
SAR,,175.99,,186.05,181.46,2020.09.30 23:40:53,2
SAR,,175.99,,186.05,181.46,2020.09.30 23:13:23,2
SAR,,175.99,,186.05,181.46,2020.09.30 23:00:19,3
SAR,,176.12,,186.2,181.46,2020.09.30 22:49:53,3
SAR,,176.12,,186.2,181.46,2020.09.30 22:42:59,3
SAR,,176.12,,186.2,181.46,2020.09.30 22:29:46,3
SAR,,176.2,,186.28,181.46,2020.09.30 22:18:52,3
SAR,,176.2,,186.28,181.46,2020.09.30 22:15:21,3
SAR,,176.3,,186.38,181.46,2020.09.30 22:15:06,3
SAR,,176.3,,186.38,181.46,2020.09.30 22:04:55,3
SAR,,176.3,,186.38,181.46,2020.09.30 20:50:35,3
SAR,,176.33,,186.41,181.46,2020.09.30 19:31:43,3
SAR,,176.28,,186.36,181.46,2020.09.30 18:46:01,3
SAR,,176.28,,186.36,181.46,2020.09.30 18:45:05,3
SAR,,176.38,,186.46,181.46,2020.09.30 18:44:57,3
SAR,,176.38,,186.46,181.46,2020.09.30 17:58:59,3
SAR,,176.45,,186.55,181.46,2020.09.30 17:39:46,3
SAR,,176.51,,186.61,181.46,2020.09.30 17:33:06,3
SAR,,176.49,,186.59,181.46,2020.09.30 17:29:11,3
SAR,,176.47,,186.57,181.46,2020.09.30 17:18:55,3
SAR,,176.48,,186.58,181.46,2020.09.30 17:06:12,3
SAR,,176.47,,186.57,181.46,2020.09.30 16:59:53,3
SAR,,176.48,,186.58,181.46,2020.09.30 16:58:00,4
SAR,,176.47,,186.57,181.46,2020.09.30 16:52:31,4
SAR,,176.45,,186.55,181.46,2020.09.30 16:51:58,4
SAR,,176.48,,186.58,181.46,2020.09.30 16:50:58,4
SAR,,176.49,,186.59,181.46,2020.09.30 16:48:29,4
SAR,,176.47,,186.57,181.46,2020.09.30 16:47:20,4
SAR,,176.42,,186.5,181.46,2020.09.30 16:43:27,4
SAR,,176.4,,186.48,181.46,2020.09.30 16:43:21,4
SAR,,176.4,,186.48,181.46,2020.09.30 16:40:54,4
SAR,,176.42,,186.5,181.46,2020.09.30 16:38:16,4
SAR,,176.41,,186.49,181.46,2020.09.30 16:34:01,4
SAR,,176.43,,186.53,181.46,2020.09.30 16:33:51,4
SAR,,176.43,,186.53,181.46,2020.09.30 16:26:36,4
SAR,,176.42,,186.5,181.46,2020.09.30 16:20:57,4
SAR,,176.43,,186.53,181.46,2020.09.30 16:16:02,4
SAR,,176.41,,186.49,181.46,2020.09.30 16:10:38,4
SAR,,176.38,,186.46,181.46,2020.09.30 16:07:57,4
SAR,,176.37,,186.45,181.46,2020.09.30 16:03:37,4
SAR,,176.35,,186.43,181.46,2020.09.30 16:02:14,4
SAR,,176.37,,186.45,181.46,2020.09.30 16:00:46,4
SAR,,176.36,,186.44,181.46,2020.09.30 15:59:21,5
SAR,,176.37,,186.45,181.46,2020.09.30 15:58:39,5
SAR,,176.39,,186.47,181.46,2020.09.30 15:51:19,5
SAR,,176.37,,186.45,181.46,2020.09.30 15:48:30,5
SAR,,176.36,,186.44,181.46,2020.09.30 15:47:37,5
SAR,,176.35,,186.43,181.46,2020.09.30 15:42:21,5
SAR,,176.32,,186.4,181.46,2020.09.30 15:31:22,5
SAR,,176.35,,186.43,181.46,2020.09.30 15:28:56,5
SAR,,176.33,,186.41,181.46,2020.09.30 15:27:25,5
SAR,,176.32,,186.4,181.46,2020.09.30 15:25:36,5
SAR,,176.29,,186.37,181.46,2020.09.30 15:23:41,5
SAR,,176.28,,186.36,181.46,2020.09.30 15:16:46,5
SAR,,176.23,,186.31,181.46,2020.09.30 15:14:00,5
SAR,,176.25,,186.33,181.46,2020.09.30 15:13:53,5
SAR,,176.35,,186.43,181.46,2020.09.30 15:11:18,5
SAR,,176.37,,186.45,181.46,2020.09.30 15:07:44,5
SAR,,176.41,,186.49,181.46,2020.09.30 15:06:15,5
SAR,,176.46,,186.56,181.46,2020.09.30 15:03:01,5
SAR,,176.48,,186.58,181.46,2020.09.30 14:58:54,5
SAR,,176.5,,186.6,181.46,2020.09.30 14:54:06,5
SAR,,176.48,,186.58,181.46,2020.09.30 14:49:40,6
SAR,,176.5,,186.6,181.46,2020.09.30 14:47:53,6
SAR,,176.51,,186.61,181.46,2020.09.30 14:41:05,6
SAR,,176.54,,186.64,181.46,2020.09.30 14:32:53,6
SAR,,176.56,,186.66,181.46,2020.09.30 14:30:36,6
SAR,,176.58,,186.68,181.46,2020.09.30 14:29:04,6
SAR,,176.59,,186.69,181.46,2020.09.30 14:28:39,6
SAR,,176.55,,186.65,181.46,2020.09.30 14:26:36,6
SAR,,176.54,,186.64,181.46,2020.09.30 14:24:39,6
SAR,,176.51,,186.61,181.46,2020.09.30 14:14:26,6
SAR,,176.5,,186.6,181.46,2020.09.30 14:13:43,6
SAR,,176.48,,186.58,181.46,2020.09.30 14:12:51,6
SAR,,176.47,,186.57,181.46,2020.09.30 14:11:07,6
