Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
SEK,75.66,73.32,76.26,76.63,75.95,2020.10.01 17:42:41,1
SEK,75.59,73.25,76.19,76.56,75.95,2020.10.01 16:41:34,1
SEK,75.69,73.35,76.29,76.66,75.95,2020.10.01 16:28:51,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 16:15:10,1
SEK,75.62,73.28,76.22,76.59,75.95,2020.10.01 16:03:55,1
SEK,75.61,73.27,76.21,76.58,75.95,2020.10.01 15:06:46,1
SEK,75.62,73.28,76.22,76.59,75.95,2020.10.01 15:06:37,1
SEK,75.62,73.28,76.22,76.59,75.95,2020.10.01 15:05:55,1
SEK,75.64,73.3,76.24,76.61,75.95,2020.10.01 15:05:44,1
SEK,75.66,73.32,76.26,76.63,75.95,2020.10.01 15:05:11,1
SEK,75.69,73.35,76.29,76.66,75.95,2020.10.01 14:54:09,1
SEK,75.74,73.4,76.34,76.71,75.95,2020.10.01 14:51:47,1
SEK,75.73,73.39,76.33,76.7,75.95,2020.10.01 14:51:20,1
SEK,75.76,73.42,76.36,76.73,75.95,2020.10.01 14:25:49,1
SEK,75.71,73.37,76.31,76.68,75.95,2020.10.01 12:41:01,1
SEK,75.73,73.39,76.33,76.7,75.95,2020.10.01 11:55:05,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 10:30:00,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 10:30:00,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 10:30:00,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 10:10:23,1
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 10:10:23,2
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 09:50:58,2
SEK,75.7,73.36,76.3,76.67,75.95,2020.10.01 09:44:29,2
SEK,75.55,73.21,76.15,76.52,75.95,2020.10.01 09:11:19,2
SEK,75.56,73.22,76.16,76.53,75.95,2020.10.01 09:11:12,2
SEK,75.57,73.23,76.17,76.54,75.95,2020.10.01 09:10:56,2
SEK,75.59,73.25,76.19,76.56,75.95,2020.10.01 09:10:49,2
SEK,75.59,73.25,76.19,76.56,75.95,2020.10.01 09:10:40,2
SEK,75.62,73.28,76.22,76.59,75.95,2020.10.01 09:10:27,2
SEK,75.64,73.3,76.24,76.61,75.95,2020.10.01 09:09:47,2
SEK,75.62,73.28,76.22,76.59,75.95,2020.10.01 09:07:43,2
SEK,75.6,73.26,76.2,76.57,75.95,2020.10.01 09:06:59,2
SEK,75.59,73.25,76.19,76.56,75.95,2020.10.01 09:04:45,2
SEK,75.57,73.23,76.17,76.54,75.95,2020.10.01 09:03:33,2
SEK,75.56,73.22,76.16,76.53,75.95,2020.10.01 09:01:29,2
SEK,75.54,73.2,76.14,76.51,75.95,2020.10.01 09:01:04,2
SEK,75.57,73.23,76.17,76.54,75.95,2020.10.01 08:51:33,2
SEK,75.55,73.21,76.15,76.52,75.95,2020.10.01 08:51:29,2
SEK,75.56,73.22,76.16,76.53,75.95,2020.10.01 07:48:10,2
SEK,75.56,73.22,76.16,76.53,75.95,2020.10.01 07:48:05,2
SEK,75.6,73.26,76.2,76.57,75.95,2020.10.01 06:53:04,3
SEK,75.6,73.26,76.2,76.57,75.95,2020.10.01 06:52:59,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.10.01 05:30:00,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.10.01 05:30:00,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.10.01 05:30:00,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.10.01 00:00:05,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.09.30 23:40:58,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.09.30 23:40:58,3
SEK,75.44,73.11,76.04,76.41,75.95,2020.09.30 23:40:58,3
SEK,75.43,73.1,76.03,76.4,75.95,2020.09.30 23:40:53,3
SEK,75.51,73.18,76.11,76.48,75.95,2020.09.30 23:13:23,3
SEK,75.48,73.15,76.08,76.45,75.95,2020.09.30 23:00:19,3
SEK,75.45,73.12,76.05,76.42,75.95,2020.09.30 22:49:53,3
SEK,75.28,72.95,75.88,76.25,75.95,2020.09.30 22:42:59,3
SEK,75.2,72.88,75.8,76.16,75.95,2020.09.30 22:29:46,3
SEK,75.35,73.02,75.95,76.32,75.95,2020.09.30 22:18:52,3
SEK,75.24,72.91,75.84,76.2,75.95,2020.09.30 22:15:21,3
SEK,75.29,72.96,75.89,76.26,75.95,2020.09.30 22:15:06,3
SEK,75.13,72.81,75.73,76.09,75.95,2020.09.30 22:04:55,3
SEK,75.22,72.9,75.82,76.18,75.95,2020.09.30 20:50:35,3
SEK,75.11,72.79,75.71,76.07,75.95,2020.09.30 19:31:43,4
SEK,75.3,72.97,75.9,76.27,75.95,2020.09.30 18:46:01,4
SEK,75.27,72.94,75.87,76.24,75.95,2020.09.30 18:45:05,4
SEK,75.31,72.98,75.91,76.28,75.95,2020.09.30 18:44:57,4
SEK,75.31,72.98,75.91,76.28,75.95,2020.09.30 17:58:59,4
SEK,75.28,72.95,75.88,76.25,75.95,2020.09.30 17:39:46,4
SEK,75.24,72.91,75.84,76.2,75.95,2020.09.30 17:33:06,4
SEK,75.26,72.93,75.86,76.22,75.95,2020.09.30 17:29:11,4
SEK,75.28,72.95,75.88,76.25,75.95,2020.09.30 17:18:55,4
SEK,75.32,72.99,75.92,76.29,75.95,2020.09.30 17:06:12,4
