Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 17:42:41,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 16:41:34,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 16:28:51,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 16:15:10,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 16:03:55,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 15:06:46,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 15:06:37,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 15:05:55,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 15:05:44,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 15:05:11,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 14:54:09,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 14:51:47,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 14:51:20,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 14:25:49,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 12:41:01,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 11:55:05,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 10:30:00,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 10:30:00,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 10:30:00,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 10:10:23,1
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 10:10:23,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:50:58,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:44:29,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:11:19,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:11:12,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:10:56,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:10:49,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:10:40,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:10:27,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:09:47,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:07:43,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:06:59,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:04:45,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:03:33,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:01:29,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 09:01:04,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 08:51:33,2
TRY,87.64,83.34,88.34,101.43,87.07,2020.10.01 08:51:29,2
TRY,87.62,83.33,88.32,101.41,87.07,2020.10.01 07:48:10,2
