Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
TWD,,22.69,,24.59,,2020.10.01 17:42:41,1
TWD,,22.69,,24.59,,2020.10.01 16:41:34,1
TWD,,22.69,,24.59,,2020.10.01 16:28:51,1
TWD,,22.67,,24.57,,2020.10.01 16:15:10,1
TWD,,22.66,,24.56,,2020.10.01 16:03:55,1
TWD,,22.68,,24.58,,2020.10.01 15:06:46,1
TWD,,22.68,,24.58,,2020.10.01 15:06:37,1
TWD,,22.68,,24.58,,2020.10.01 15:05:55,1
TWD,,22.68,,24.58,,2020.10.01 15:05:44,1
TWD,,22.69,,24.59,,2020.10.01 15:05:11,1
TWD,,22.68,,24.58,,2020.10.01 14:54:09,1
TWD,,22.67,,24.57,,2020.10.01 14:51:47,1
TWD,,22.68,,24.58,,2020.10.01 14:51:20,1
TWD,,22.68,,24.58,,2020.10.01 14:25:49,1
TWD,,22.68,,24.58,,2020.10.01 12:41:01,1
TWD,,22.68,,24.58,,2020.10.01 11:55:05,1
TWD,,22.67,,24.57,,2020.10.01 10:30:00,1
TWD,,22.67,,24.57,,2020.10.01 10:30:00,1
TWD,,22.67,,24.57,,2020.10.01 10:30:00,1
TWD,,22.67,,24.57,,2020.10.01 10:10:23,1
TWD,,22.67,,24.57,,2020.10.01 10:10:23,2
TWD,,22.67,,24.57,,2020.10.01 09:50:58,2
TWD,,22.68,,24.58,,2020.10.01 09:44:29,2
TWD,,22.65,,24.54,,2020.10.01 09:11:19,2
TWD,,22.67,,24.57,,2020.10.01 09:11:12,2
TWD,,22.67,,24.57,,2020.10.01 09:10:56,2
TWD,,22.68,,24.58,,2020.10.01 09:10:49,2
TWD,,22.68,,24.58,,2020.10.01 09:10:40,2
TWD,,22.69,,24.59,,2020.10.01 09:10:27,2
TWD,,22.69,,24.59,,2020.10.01 09:09:47,2
TWD,,22.69,,24.59,,2020.10.01 09:07:43,2
TWD,,22.68,,24.58,,2020.10.01 09:06:59,2
TWD,,22.68,,24.58,,2020.10.01 09:04:45,2
TWD,,22.67,,24.57,,2020.10.01 09:03:33,2
TWD,,22.67,,24.57,,2020.10.01 09:01:29,2
TWD,,22.66,,24.56,,2020.10.01 09:01:04,2
TWD,,22.66,,24.56,,2020.10.01 08:51:33,2
TWD,,22.66,,24.56,,2020.10.01 08:51:29,2
TWD,,22.66,,24.56,,2020.10.01 07:48:10,2
TWD,,22.66,,24.56,,2020.10.01 07:48:05,2
TWD,,22.65,,24.54,,2020.10.01 06:53:04,3
TWD,,22.65,,24.54,,2020.10.01 06:52:59,3
TWD,,22.64,,24.53,,2020.10.01 05:30:00,3
TWD,,22.64,,24.53,,2020.10.01 05:30:00,3
TWD,,22.64,,24.53,,2020.10.01 05:30:00,3
TWD,,22.64,,24.53,,2020.10.01 00:00:05,3
TWD,,22.64,,24.53,,2020.09.30 23:40:58,3
TWD,,22.64,,24.53,,2020.09.30 23:40:58,3
TWD,,22.64,,24.53,,2020.09.30 23:40:58,3
TWD,,22.64,,24.53,,2020.09.30 23:40:53,3
TWD,,22.64,,24.53,,2020.09.30 23:13:23,3
TWD,,22.64,,24.53,,2020.09.30 23:00:19,3
TWD,,22.66,,24.56,,2020.09.30 22:49:53,3
TWD,,22.65,,24.54,,2020.09.30 22:42:59,3
TWD,,22.65,,24.54,,2020.09.30 22:29:46,3
TWD,,22.66,,24.56,,2020.09.30 22:18:52,3
TWD,,22.66,,24.56,,2020.09.30 22:15:21,3
TWD,,22.68,,24.58,,2020.09.30 22:15:06,3
TWD,,22.66,,24.56,,2020.09.30 22:04:55,3
TWD,,22.67,,24.57,,2020.09.30 20:50:35,3
TWD,,22.66,,24.56,,2020.09.30 19:31:43,4
TWD,,22.65,,24.54,,2020.09.30 18:46:01,4
TWD,,22.66,,24.56,,2020.09.30 18:45:05,4
TWD,,22.67,,24.57,,2020.09.30 18:44:57,4
TWD,,22.67,,24.57,,2020.09.30 17:58:59,4
TWD,,22.69,,24.59,,2020.09.30 17:39:46,4
TWD,,22.68,,24.58,,2020.09.30 17:33:06,4
TWD,,22.69,,24.59,,2020.09.30 17:29:11,4
TWD,,22.68,,24.58,,2020.09.30 17:18:55,4
TWD,,22.69,,24.59,,2020.09.30 17:06:12,4
TWD,,22.68,,24.58,,2020.09.30 16:59:53,4
TWD,,22.68,,24.58,,2020.09.30 16:58:00,4
TWD,,22.68,,24.58,,2020.09.30 16:52:31,4
TWD,,22.68,,24.58,,2020.09.30 16:51:58,4
TWD,,22.67,,24.57,,2020.09.30 16:50:58,4
TWD,,22.68,,24.58,,2020.09.30 16:48:29,4
TWD,,22.67,,24.57,,2020.09.30 16:47:20,4
TWD,,22.67,,24.57,,2020.09.30 16:43:27,4
TWD,,22.68,,24.58,,2020.09.30 16:43:21,4
TWD,,22.69,,24.59,,2020.09.30 16:40:54,4
