Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 17:42:41,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 16:41:34,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 16:28:51,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 16:15:10,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 16:03:55,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 15:06:46,1
USD,677.77,672.26,680.65,680.65,681.01,2020.10.01 15:06:37,1
USD,677.77,672.26,680.65,680.65,681.01,2020.10.01 15:05:55,1
USD,677.92,672.41,680.8,680.8,681.01,2020.10.01 15:05:44,1
USD,678.02,672.51,680.9,680.9,681.01,2020.10.01 15:05:11,1
USD,677.92,672.41,680.8,680.8,681.01,2020.10.01 14:54:09,1
USD,678.02,672.51,680.9,680.9,681.01,2020.10.01 14:51:47,1
USD,677.87,672.36,680.75,680.75,681.01,2020.10.01 14:51:20,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 14:25:49,1
USD,677.72,672.21,680.6,680.6,681.01,2020.10.01 12:41:01,1
USD,677.97,672.46,680.85,680.85,681.01,2020.10.01 11:55:05,1
USD,678,672.49,680.88,680.88,681.01,2020.10.01 10:30:00,1
USD,678,672.49,680.88,680.88,681.01,2020.10.01 10:30:00,1
USD,678,672.49,680.88,680.88,681.01,2020.10.01 10:30:00,1
USD,678,672.49,680.88,680.88,681.01,2020.10.01 10:10:23,1
USD,678,672.49,680.88,680.88,681.01,2020.10.01 10:10:23,2
USD,678,672.49,680.88,680.88,681.01,2020.10.01 09:50:58,2
USD,678.02,672.51,680.9,680.9,681.01,2020.10.01 09:44:29,2
USD,678.02,672.51,680.9,680.9,681.01,2020.10.01 09:11:19,2
USD,678.12,672.61,681,681,681.01,2020.10.01 09:11:12,2
USD,678.22,672.71,681.1,681.1,681.01,2020.10.01 09:10:56,2
USD,678.37,672.85,681.25,681.25,681.01,2020.10.01 09:10:49,2
USD,678.52,673,681.4,681.4,681.01,2020.10.01 09:10:40,2
USD,678.72,673.2,681.6,681.6,681.01,2020.10.01 09:10:27,2
USD,678.82,673.3,681.7,681.7,681.01,2020.10.01 09:09:47,2
USD,678.72,673.2,681.6,681.6,681.01,2020.10.01 09:07:43,2
USD,678.57,673.05,681.45,681.45,681.01,2020.10.01 09:06:59,2
USD,678.42,672.9,681.3,681.3,681.01,2020.10.01 09:04:45,2
USD,678.27,672.75,681.15,681.15,681.01,2020.10.01 09:03:33,2
USD,678.12,672.61,681,681,681.01,2020.10.01 09:01:29,2
USD,677.97,672.46,680.85,680.85,681.01,2020.10.01 09:01:04,2
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 08:51:33,2
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 08:51:29,2
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 07:48:10,2
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 07:48:05,2
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 06:53:04,3
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 06:52:59,3
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 05:30:00,3
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 05:30:00,3
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 05:30:00,3
USD,677.82,672.31,680.7,680.7,681.01,2020.10.01 00:00:05,3
USD,677.82,672.31,680.7,680.7,681.01,2020.09.30 23:40:58,3
USD,677.82,672.31,680.7,680.7,681.01,2020.09.30 23:40:58,3
USD,677.82,672.31,680.7,680.7,681.01,2020.09.30 23:40:58,3
USD,677.72,672.21,680.6,680.6,681.01,2020.09.30 23:40:53,3
USD,677.72,672.21,680.6,680.6,681.01,2020.09.30 23:13:23,3
USD,677.72,672.21,680.6,680.6,681.01,2020.09.30 23:00:19,3
USD,678.22,672.71,681.1,681.1,681.01,2020.09.30 22:49:53,3
USD,678.22,672.71,681.1,681.1,681.01,2020.09.30 22:42:59,3
USD,678.22,672.71,681.1,681.1,681.01,2020.09.30 22:29:46,3
USD,678.52,673,681.4,681.4,681.01,2020.09.30 22:18:52,3
USD,678.52,673,681.4,681.4,681.01,2020.09.30 22:15:21,3
USD,678.92,673.4,681.8,681.8,681.01,2020.09.30 22:15:06,3
USD,678.92,673.4,681.8,681.8,681.01,2020.09.30 22:04:55,3
USD,678.92,673.4,681.8,681.8,681.01,2020.09.30 20:50:35,3
USD,679.02,673.5,681.9,681.9,681.01,2020.09.30 19:31:43,4
USD,678.82,673.3,681.7,681.7,681.01,2020.09.30 18:46:01,4
USD,678.82,673.3,681.7,681.7,681.01,2020.09.30 18:45:05,4
USD,679.22,673.7,682.1,682.1,681.01,2020.09.30 18:44:57,4
USD,679.22,673.7,682.1,682.1,681.01,2020.09.30 17:58:59,4
USD,679.52,673.99,682.4,682.4,681.01,2020.09.30 17:39:46,4
USD,679.72,674.19,682.6,682.6,681.01,2020.09.30 17:33:06,4
USD,679.67,674.14,682.55,682.55,681.01,2020.09.30 17:29:11,4
USD,679.57,674.04,682.45,682.45,681.01,2020.09.30 17:18:55,4
USD,679.62,674.09,682.5,682.5,681.01,2020.09.30 17:06:12,4
USD,679.57,674.04,682.45,682.45,681.01,2020.09.30 16:59:53,4
USD,679.62,674.09,682.5,682.5,681.01,2020.09.30 16:58:00,4
USD,679.57,674.04,682.45,682.45,681.01,2020.09.30 16:52:31,4
USD,679.52,673.99,682.4,682.4,681.01,2020.09.30 16:51:58,4
USD,679.62,674.09,682.5,682.5,681.01,2020.09.30 16:50:58,4
