Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,Page Number
ZAR,40.76,37.63,41.04,44.24,40.22,2020.10.01 17:42:41,1
ZAR,40.66,37.54,40.94,44.13,40.22,2020.10.01 16:41:34,1
ZAR,40.77,37.64,41.05,44.25,40.22,2020.10.01 16:28:51,1
ZAR,40.68,37.56,40.96,44.15,40.22,2020.10.01 16:15:10,1
ZAR,40.66,37.54,40.94,44.13,40.22,2020.10.01 16:03:55,1
ZAR,40.78,37.65,41.06,44.26,40.22,2020.10.01 15:06:46,1
ZAR,40.78,37.65,41.06,44.26,40.22,2020.10.01 15:06:37,1
ZAR,40.79,37.66,41.07,44.27,40.22,2020.10.01 15:05:55,1
ZAR,40.8,37.67,41.08,44.28,40.22,2020.10.01 15:05:44,1
ZAR,40.84,37.71,41.12,44.33,40.22,2020.10.01 15:05:11,1
ZAR,40.85,37.71,41.13,44.34,40.22,2020.10.01 14:54:09,1
ZAR,40.89,37.75,41.17,44.38,40.22,2020.10.01 14:51:47,1
ZAR,40.88,37.74,41.16,44.37,40.22,2020.10.01 14:51:20,1
ZAR,40.77,37.64,41.05,44.25,40.22,2020.10.01 14:25:49,1
ZAR,40.58,37.47,40.86,44.05,40.22,2020.10.01 12:41:01,1
ZAR,40.52,37.41,40.8,43.98,40.22,2020.10.01 11:55:05,1
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 10:30:00,1
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 10:30:00,1
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 10:30:00,1
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 10:10:23,1
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 10:10:23,2
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 09:50:58,2
ZAR,40.51,37.4,40.79,43.97,40.22,2020.10.01 09:44:29,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 09:11:19,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 09:11:12,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 09:10:56,2
ZAR,40.42,37.32,40.7,43.87,40.22,2020.10.01 09:10:49,2
ZAR,40.43,37.33,40.71,43.88,40.22,2020.10.01 09:10:40,2
ZAR,40.44,37.34,40.72,43.9,40.22,2020.10.01 09:10:27,2
ZAR,40.45,37.35,40.73,43.91,40.22,2020.10.01 09:09:47,2
ZAR,40.44,37.34,40.72,43.9,40.22,2020.10.01 09:07:43,2
ZAR,40.43,37.33,40.71,43.88,40.22,2020.10.01 09:06:59,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 09:04:45,2
ZAR,40.42,37.32,40.7,43.87,40.22,2020.10.01 09:03:33,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 09:01:29,2
ZAR,40.4,37.3,40.68,43.85,40.22,2020.10.01 09:01:04,2
ZAR,40.39,37.29,40.67,43.84,40.22,2020.10.01 08:51:33,2
ZAR,40.39,37.29,40.67,43.84,40.22,2020.10.01 08:51:29,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 07:48:10,2
ZAR,40.41,37.31,40.69,43.86,40.22,2020.10.01 07:48:05,2
ZAR,40.47,37.37,40.75,43.93,40.22,2020.10.01 06:53:04,3
ZAR,40.47,37.37,40.75,43.93,40.22,2020.10.01 06:52:59,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.10.01 05:30:00,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.10.01 05:30:00,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.10.01 05:30:00,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.10.01 00:00:05,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.09.30 23:40:58,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.09.30 23:40:58,3
ZAR,40.56,37.45,40.84,44.03,40.22,2020.09.30 23:40:58,3
